1185786;Namık Kemal Mahallesi Muhtarlığı;ESENYURT;ZAFER
1186083;Rumeli Kavağı Mahallesi Muhtarlığı;SARIYER;RUMELİ KAVAĞI
1183519;Çayırbaşı Mahallesi Muhtarlığı;ŞİLE;ÇAYIRBAŞI
1185874;Ulus Mahallesi Muhtarlığı;BEŞİKTAŞ;ULUS
1182730;Şuayipli Mahallesi Muhtarlığı;ŞİLE;ŞUAYİPLİ
1186355;Dermirciköy Mahallesi Muhtarlığı;SARIYER;DEMİRCİKÖY
1184990;Fevzi Çakmak Mahallesi Muhtarlığı;BAHÇELİEVLER;FEVZİ ÇAKMAK
1185484;Bağlar Mahallesi Muhtarlığı;BAĞCILAR;BAĞLAR
1185970;Aydınlı Mahallesi Muhtarlığı;TUZLA;AYDINLI
1185568;Çağlayan Mahallesi Muhtarlığı;KAĞITHANE;ÇAĞLAYAN
1185843;Kartaltepe Mahallesi Muhtarlığı;BAYRAMPAŞA;KARTALTEPE
118657;Madenler Mahallesi Muhtarlığı;ÜMRANİYE;MADENLER
1183956;Başak Mahallesi Muhtarlığı;ÇATALCA;BAŞAK
379;Elmalıkent Mahallesi Muhtarlığı;ÜMRANİYE;ELMALIKENT
1186045;Yeşilbağlar Mahallesi Muhtarlığı;PENDİK;YEŞİLBAĞLAR
1184820;Kurna Mahallesi Muhtarlığı;ŞİLE;KURNA
1185984;Ağaçlı Mahallesi Muhtarlığı;EYÜPSULTAN;AĞAÇLI
1182413;Alibahadır Mahallesi Muhtarlığı;BEYKOZ;ALİBAHADIR
1186601;Eyüpsultan Mahallesi Muhtarlığı;SANCAKTEPE;EYÜP SULTAN
1186503;Merkez Mahallesi Muhtarlığı;AVCILAR;MERKEZ
1183779;Mahmut Şevket Paşa Mahallesi Muhtarlığı;ŞİŞLİ;MAHMUT ŞEVKET PAŞA
1183149;Pirinççi Mahallesi Muhtarlığı;EYÜPSULTAN;PİRİNÇÇİ
1185769;Orta Mahallesi Muhtarlığı;PENDİK;ORTA
1185383;Yeşilpınar Mahallesi Muhtarlığı;EYÜPSULTAN;YEŞİLPINAR
1183433;Yunus Mahallesi Muhtarlığı;KARTAL;YUNUS
1184480;İstasyon Mahallesi Muhtarlığı;TUZLA;İSTASYON
1186546;15 Temmuz Mahallesi Muhtarlığı;BAĞCILAR;15.Tem
1186548;Cumhuriyet Mahallesi Muhtarlığı;ESENYURT;CUMHURİYET
1185939;Örcünlü Mahallesi Muhtarlığı;ÇATALCA;ÖRCÜNLÜ
1181463;Kervansaray Mahallesi Muhtarlığı;ŞİLE;KERVANSARAY
1183651;Maltepe Mahallesi Muhtarlığı;ZEYTİNBURNU;MALTEPE
1186380;Kanlıca Mahallesi Muhtarlığı;BEYKOZ;KANLICA
1183449;Soğuksu Mahallesi Muhtarlığı;BEYKOZ;İNCİRKÖY
1186196;Barbaros Mahallesi Muhtarlığı;ATAŞEHİR;BARBAROS
1184475;Selami Ali Mahallesi Muhtarlığı;ÜSKÜDAR;MURATREİS
1184505;Başakşehir Mahallesi Muhtarlığı;BAŞAKŞEHİR;BAŞAKŞEHİR
1185424;Birlik Mahallesi Muhtarlığı;ESENLER;BİRLİK
1181449;Kalem Mahallesi Muhtarlığı;ŞİLE;KALEM
566;Hacıllı Mahallesi Muhtarlığı;ŞİLE;HACILLI
66127;Şehit Muhtar Mahallesi Muhtarlığı;BEYOĞLU;KOCATEPE
1183959;İhsaniye Mahallesi Muhtarlığı;ÇATALCA;İHSANİYE
1182671;Karamandere Mahallesi Muhtarlığı;ÇATALCA;KARAMANDERE
1182531;Celepköy Mahallesi Muhtarlığı;ÇATALCA;CELEPKÖY
1183430;Bağlarçeşme Mahallesi Muhtarlığı;ESENYURT;BAĞLARÇEŞME
4110252;Durusu Mahallesi Muhtarlığı;ARNAVUTKÖY;DURUSU
1185478;Karlıktepe Mahallesi Muhtarlığı;KARTAL;KARLIKTEPE
1186710;Mecidiyeköy Mahallesi Muhtarlığı;ŞİŞLİ;MECİDİYEKÖY
1184428;Nişantepe Mahallesi Muhtarlığı;ÇEKMEKÖY;NİŞANTEPE
1186577;Kemankeş Karamustafa Paşa Mahallesi Muhtarlığı;BEYOĞLU;HACIMİMİ
1181193;Parseller Mahallesi Muhtarlığı;ÜMRANİYE;PARSELLER
1186596;Esenevler Mahallesi Muhtarlığı;ÜMRANİYE;ESENEVLER
1183624;Piri Paşa Mahallesi Muhtarlığı;BEYOĞLU;PİRİPAŞA
1184433;Kireçburnu Mahallesi Muhtarlığı;SARIYER;KİREÇBURNU
1181356;Gülbahar Mahallesi Muhtarlığı;ŞİŞLİ;GÜLBAHAR
1184260;Zeynep Kamil Mahallesi Muhtarlığı;ÜSKÜDAR;ZEYNEP KAMİL
